class,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41
18,0.0,0.0,-0.15555555555555556,-0.17777777777777778,-0.13777777777777778,-0.35555555555555557,-0.03111111111111111,-0.4488888888888889,0.06222222222222222,-0.5022222222222222,-0.1688888888888889,-0.4177777777777778,-0.20444444444444446,-0.6577777777777778,-0.24,-0.8,-0.26666666666666666,-0.92,-0.02666666666666667,-0.4177777777777778,-0.03111111111111111,-0.7022222222222222,-0.03111111111111111,-0.8755555555555555,-0.03111111111111111,-1.0,0.10222222222222223,-0.39111111111111113,0.14666666666666667,-0.64,0.16444444444444445,-0.7866666666666666,0.18666666666666668,-0.8888888888888888,0.19111111111111112,-0.3466666666666667,0.13333333333333333,-0.4577777777777778,0.04888888888888889,-0.4,0.022222222222222223,-0.3333333333333333
18,0.0,0.0,-0.17682926829268292,-0.13414634146341464,-0.18292682926829268,-0.29878048780487804,-0.12195121951219512,-0.4268292682926829,-0.06097560975609756,-0.5060975609756098,-0.1951219512195122,-0.39634146341463417,-0.22560975609756098,-0.6402439024390244,-0.2682926829268293,-0.7865853658536586,-0.2926829268292683,-0.9085365853658537,-0.036585365853658534,-0.4024390243902439,-0.042682926829268296,-0.6829268292682927,-0.042682926829268296,-0.8658536585365854,-0.054878048780487805,-1.0,0.0975609756097561,-0.36585365853658536,0.14634146341463414,-0.5975609756097561,0.15853658536585366,-0.7560975609756098,0.18292682926829268,-0.8719512195121951,0.18902439024390244,-0.31097560975609756,0.1402439024390244,-0.4146341463414634,0.06707317073170732,-0.36585365853658536,0.036585365853658534,-0.3170731707317073
18,0.0,0.0,-0.15135135135135136,-0.1837837837837838,-0.13513513513513514,-0.3621621621621622,-0.032432432432432434,-0.44324324324324327,0.05945945945945946,-0.4810810810810811,-0.16216216216216217,-0.43783783783783786,-0.1891891891891892,-0.6648648648648648,-0.22162162162162163,-0.8054054054054054,-0.24864864864864866,-0.918918918918919,-0.021621621621621623,-0.4486486486486487,-0.032432432432432434,-0.7135135135135136,-0.032432432432432434,-0.8756756756756757,-0.032432432432432434,-1.0,0.10270270270270271,-0.42162162162162165,0.14054054054054055,-0.6486486486486487,0.16216216216216217,-0.7945945945945946,0.1891891891891892,-0.8918918918918919,0.1891891891891892,-0.3783783783783784,0.12432432432432433,-0.4702702702702703,0.05405405405405406,-0.41621621621621624,0.043243243243243246,-0.34594594594594597
18,0.0,0.0,-0.1552511415525114,-0.1689497716894977,-0.1461187214611872,-0.3424657534246575,-0.0502283105022831,-0.4337899543378995,0.0410958904109589,-0.4840182648401826,-0.1643835616438356,-0.4155251141552511,-0.1963470319634703,-0.6529680365296804,-0.228310502283105,-0.7945205479452054,-0.2465753424657534,-0.91324200913242,-0.0273972602739726,-0.4246575342465753,-0.0410958904109589,-0.6940639269406392,-0.0410958904109589,-0.867579908675799,-0.0365296803652968,-1.0,0.1050228310502283,-0.4018264840182648,0.1461187214611872,-0.6301369863013698,0.1735159817351598,-0.771689497716895,0.2054794520547945,-0.867579908675799,0.1963470319634703,-0.3607305936073059,0.136986301369863,-0.4611872146118721,0.0639269406392694,-0.4063926940639269,0.0502283105022831,-0.3333333333333333
18,0.0,0.0,-0.15789473684210525,-0.17703349282296652,-0.15311004784688995,-0.36363636363636365,-0.0430622009569378,-0.45454545454545453,0.05741626794258373,-0.49282296650717705,-0.17703349282296652,-0.430622009569378,-0.21052631578947367,-0.6602870813397129,-0.24401913875598086,-0.7990430622009569,-0.2727272727272727,-0.9186602870813397,-0.03349282296650718,-0.44019138755980863,-0.04784688995215311,-0.7081339712918661,-0.04784688995215311,-0.8755980861244019,-0.04784688995215311,-1.0,0.09569377990430622,-0.42105263157894735,0.13875598086124402,-0.6507177033492823,0.1674641148325359,-0.7942583732057417,0.19617224880382775,-0.8995215311004785,0.19138755980861244,-0.37320574162679426,0.1291866028708134,-0.48325358851674644,0.06220095693779904,-0.4258373205741627,0.05263157894736842,-0.35406698564593303
18,0.0,0.0,-0.17204301075268819,-0.13978494623655913,-0.1881720430107527,-0.3118279569892473,-0.11827956989247312,-0.44086021505376344,-0.043010752688172046,-0.521505376344086,-0.1935483870967742,-0.3924731182795699,-0.23118279569892472,-0.6290322580645161,-0.27419354838709675,-0.7688172043010753,-0.3064516129032258,-0.8924731182795699,-0.04838709677419355,-0.40860215053763443,-0.06451612903225806,-0.6827956989247311,-0.06989247311827956,-0.8655913978494624,-0.08064516129032258,-1.0,0.0913978494623656,-0.3817204301075269,0.14516129032258066,-0.6182795698924731,0.16666666666666666,-0.7741935483870968,0.1989247311827957,-0.8870967741935484,0.1827956989247312,-0.3279569892473118,0.14516129032258066,-0.43010752688172044,0.08064516129032258,-0.3870967741935484,0.05913978494623656,-0.3333333333333333
18,0.0,0.0,-0.13793103448275862,-0.18719211822660098,-0.11330049261083744,-0.37438423645320196,0.0049261083743842365,-0.4729064039408867,0.09359605911330049,-0.5073891625615764,-0.16748768472906403,-0.4433497536945813,-0.19704433497536947,-0.6748768472906403,-0.22660098522167488,-0.8029556650246306,-0.2512315270935961,-0.916256157635468,-0.03940886699507389,-0.4482758620689655,-0.059113300492610835,-0.7142857142857143,-0.06896551724137931,-0.8768472906403941,-0.06896551724137931,-1.0,0.08866995073891626,-0.4236453201970443,0.1330049261083744,-0.6699507389162561,0.15763546798029557,-0.8078817733990148,0.18226600985221675,-0.9064039408866995,0.18226600985221675,-0.3793103448275862,0.1330049261083744,-0.5172413793103449,0.07389162561576355,-0.458128078817734,0.06403940886699508,-0.3891625615763547
18,0.0,0.0,-0.1339712918660287,-0.19138755980861244,-0.10047846889952153,-0.37799043062200954,0.014354066985645933,-0.4784688995215311,0.10526315789473684,-0.5119617224880383,-0.15789473684210525,-0.44976076555023925,-0.18660287081339713,-0.6794258373205742,-0.22009569377990432,-0.8086124401913876,-0.24880382775119617,-0.9234449760765551,-0.03349282296650718,-0.45933014354066987,-0.05741626794258373,-0.722488038277512,-0.06220095693779904,-0.8851674641148325,-0.06220095693779904,-1.0,0.09090909090909091,-0.4354066985645933,0.14832535885167464,-0.6794258373205742,0.1722488038277512,-0.8181818181818182,0.19617224880382775,-0.9138755980861244,0.19138755980861244,-0.3875598086124402,0.15789473684210525,-0.5263157894736842,0.09569377990430622,-0.47368421052631576,0.0861244019138756,-0.39712918660287083
18,0.0,0.0,-0.13592233009708737,-0.18932038834951456,-0.11650485436893204,-0.3737864077669903,-0.014563106796116505,-0.470873786407767,0.07281553398058252,-0.5145631067961165,-0.16019417475728157,-0.441747572815534,-0.18446601941747573,-0.6796116504854369,-0.20388349514563106,-0.8106796116504854,-0.22815533980582525,-0.9223300970873787,-0.043689320388349516,-0.4563106796116505,-0.04854368932038835,-0.7233009708737864,-0.043689320388349516,-0.883495145631068,-0.04854368932038835,-1.0,0.0825242718446602,-0.4368932038834951,0.14563106796116504,-0.6747572815533981,0.17475728155339806,-0.8106796116504854,0.19902912621359223,-0.9077669902912622,0.1796116504854369,-0.3883495145631068,0.1650485436893204,-0.529126213592233,0.10679611650485436,-0.47572815533980584,0.09223300970873786,-0.4077669902912621
18,0.0,0.0,-0.18433179723502305,-0.12903225806451613,-0.20276497695852536,-0.3087557603686636,-0.12442396313364056,-0.41935483870967744,-0.04608294930875576,-0.4930875576036866,-0.22580645161290322,-0.45622119815668205,-0.2488479262672811,-0.6405529953917051,-0.28110599078341014,-0.7373271889400922,-0.3087557603686636,-0.8248847926267281,-0.08755760368663594,-0.5023041474654378,-0.12442396313364056,-0.7465437788018433,-0.15207373271889402,-0.8894009216589862,-0.16589861751152074,-1.0,0.05069124423963134,-0.5023041474654378,0.10138248847926268,-0.7096774193548387,0.1152073732718894,-0.8341013824884793,0.14746543778801843,-0.9262672811059908,0.16129032258064516,-0.45622119815668205,0.12442396313364056,-0.4930875576036866,0.06451612903225806,-0.43317972350230416,0.05069124423963134,-0.3778801843317972
18,0.0,0.0,-0.13991769547325103,-0.18930041152263374,-0.10699588477366255,-0.3333333333333333,-0.024691358024691357,-0.4444444444444444,0.053497942386831275,-0.51440329218107,-0.16872427983539096,-0.4279835390946502,-0.18518518518518517,-0.6625514403292181,-0.20987654320987653,-0.7983539094650206,-0.23045267489711935,-0.9218106995884774,-0.037037037037037035,-0.4279835390946502,-0.05761316872427984,-0.691358024691358,-0.053497942386831275,-0.8724279835390947,-0.06172839506172839,-1.0,0.0823045267489712,-0.3991769547325103,0.1440329218106996,-0.6337448559670782,0.18930041152263374,-0.7818930041152263,0.23045267489711935,-0.8930041152263375,0.18518518518518517,-0.3497942386831276,0.18106995884773663,-0.46502057613168724,0.13580246913580246,-0.3991769547325103,0.11934156378600823,-0.32510288065843623
18,0.0,0.0,-0.19457013574660634,-0.14479638009049775,-0.24434389140271492,-0.3212669683257919,-0.17647058823529413,-0.47058823529411764,-0.10407239819004525,-0.5475113122171946,-0.13574660633484162,-0.4479638009049774,-0.09502262443438914,-0.6877828054298643,-0.07692307692307693,-0.8280542986425339,-0.06334841628959276,-0.9366515837104072,0.013574660633484163,-0.4434389140271493,0.06334841628959276,-0.7239819004524887,0.09502262443438914,-0.8868778280542986,0.1085972850678733,-1.0,0.14479638009049775,-0.4072398190045249,0.19004524886877827,-0.6334841628959276,0.20361990950226244,-0.7692307692307693,0.2171945701357466,-0.8597285067873304,0.24434389140271492,-0.334841628959276,0.2398190045248869,-0.4796380090497738,0.19909502262443438,-0.4479638009049774,0.19457013574660634,-0.38461538461538464
18,0.0,0.0,-0.18518518518518517,-0.14814814814814814,-0.22685185185185186,-0.3194444444444444,-0.14351851851851852,-0.4351851851851852,-0.041666666666666664,-0.48148148148148145,-0.12962962962962962,-0.4583333333333333,-0.09722222222222222,-0.6944444444444444,-0.06944444444444445,-0.8287037037037037,-0.05092592592592592,-0.9351851851851852,0.018518518518518517,-0.44907407407407407,0.06481481481481481,-0.7222222222222222,0.08796296296296297,-0.8796296296296297,0.1111111111111111,-1.0,0.14814814814814814,-0.41203703703703703,0.19907407407407407,-0.6481481481481481,0.21296296296296297,-0.7777777777777778,0.23148148148148148,-0.8703703703703703,0.25,-0.33796296296296297,0.24537037037037038,-0.48148148148148145,0.2037037037037037,-0.4444444444444444,0.19444444444444445,-0.37037037037037035
18,0.0,0.0,-0.10650887573964497,-0.15976331360946747,-0.10650887573964497,-0.33727810650887574,-0.08875739644970414,-0.47337278106508873,-0.08875739644970414,-0.5680473372781065,-0.14201183431952663,-0.40828402366863903,-0.21301775147928995,-0.6390532544378699,-0.26627218934911245,-0.8047337278106509,-0.28994082840236685,-0.9408284023668639,-0.04142011834319527,-0.39644970414201186,-0.047337278106508875,-0.6568047337278107,-0.03550295857988166,-0.8520710059171598,-0.023668639053254437,-1.0,0.029585798816568046,-0.3609467455621302,0.08875739644970414,-0.5798816568047337,0.1301775147928994,-0.7396449704142012,0.17751479289940827,-0.863905325443787,0.07100591715976332,-0.3136094674556213,0.05325443786982249,-0.4319526627218935,-0.005917159763313609,-0.4319526627218935,-0.03550295857988166,-0.4260355029585799
18,0.0,0.0,-0.17857142857142858,-0.14795918367346939,-0.22448979591836735,-0.3163265306122449,-0.14285714285714285,-0.42857142857142855,-0.03571428571428571,-0.46938775510204084,-0.12755102040816327,-0.45408163265306123,-0.09183673469387756,-0.6887755102040817,-0.07142857142857142,-0.8214285714285714,-0.05612244897959184,-0.9285714285714286,0.015306122448979591,-0.4489795918367347,0.061224489795918366,-0.7244897959183674,0.09183673469387756,-0.8826530612244898,0.11224489795918367,-1.0,0.14285714285714285,-0.413265306122449,0.19387755102040816,-0.6428571428571429,0.20918367346938777,-0.7755102040816326,0.22448979591836735,-0.8673469387755102,0.24489795918367346,-0.336734693877551,0.25,-0.4846938775510204,0.21428571428571427,-0.4387755102040816,0.20408163265306123,-0.3673469387755102
18,0.0,0.0,-0.14835164835164835,-0.16483516483516483,-0.12087912087912088,-0.35714285714285715,0.01098901098901099,-0.45054945054945056,0.12087912087912088,-0.5,-0.09340659340659341,-0.42857142857142855,-0.08241758241758242,-0.6923076923076923,-0.07692307692307693,-0.8516483516483516,-0.07142857142857142,-0.9725274725274725,0.06043956043956044,-0.3956043956043956,0.11538461538461539,-0.6868131868131868,0.14285714285714285,-0.8626373626373627,0.15934065934065933,-1.0,0.17582417582417584,-0.3516483516483517,0.23076923076923078,-0.6098901098901099,0.24175824175824176,-0.7692307692307693,0.25274725274725274,-0.8791208791208791,0.25274725274725274,-0.3021978021978022,0.18681318681318682,-0.43956043956043955,0.09340659340659341,-0.4175824175824176,0.038461538461538464,-0.3626373626373626
18,0.0,0.0,-0.15350877192982457,-0.17105263157894737,-0.13596491228070176,-0.3508771929824561,-0.06140350877192982,-0.4780701754385965,0.013157894736842105,-0.5701754385964912,-0.12719298245614036,-0.4342105263157895,-0.10087719298245613,-0.6929824561403509,-0.09210526315789473,-0.8508771929824561,-0.08771929824561403,-0.9780701754385965,0.021929824561403508,-0.40789473684210525,0.08771929824561403,-0.6973684210526315,0.12280701754385964,-0.8728070175438597,0.13596491228070176,-1.0,0.14912280701754385,-0.36403508771929827,0.21052631578947367,-0.6096491228070176,0.2236842105263158,-0.7631578947368421,0.2324561403508772,-0.8596491228070176,0.23684210526315788,-0.30701754385964913,0.19736842105263158,-0.4298245614035088,0.10964912280701754,-0.41228070175438597,0.07017543859649122,-0.3684210526315789
18,0.0,0.0,-0.14427860696517414,-0.1691542288557214,-0.13432835820895522,-0.35323383084577115,-0.04975124378109453,-0.48258706467661694,0.029850746268656716,-0.5671641791044776,-0.12437810945273632,-0.4228855721393035,-0.10945273631840796,-0.6965174129353234,-0.1044776119402985,-0.8557213930348259,-0.09950248756218906,-0.9701492537313433,0.024875621890547265,-0.40298507462686567,0.07462686567164178,-0.7064676616915423,0.1044776119402985,-0.8805970149253731,0.11442786069651742,-1.0,0.15422885572139303,-0.36318407960199006,0.20398009950248755,-0.6218905472636815,0.21393034825870647,-0.7761194029850746,0.21890547263681592,-0.8805970149253731,0.24378109452736318,-0.31343283582089554,0.19402985074626866,-0.44776119402985076,0.10945273631840796,-0.4427860696517413,0.05970149253731343,-0.4079601990049751
18,0.0,0.0,-0.145,-0.16,-0.135,-0.35,-0.05,-0.48,0.035,-0.56,-0.135,-0.405,-0.13,-0.68,-0.125,-0.845,-0.12,-0.965,0.015,-0.395,0.055,-0.69,0.085,-0.87,0.1,-1.0,0.145,-0.36,0.195,-0.615,0.21,-0.775,0.22,-0.885,0.245,-0.3,0.205,-0.435,0.135,-0.45,0.09,-0.43
18,0.0,0.0,-0.14659685863874344,-0.16230366492146597,-0.13612565445026178,-0.35602094240837695,-0.05235602094240838,-0.49214659685863876,0.015706806282722512,-0.5863874345549738,-0.14659685863874344,-0.4083769633507853,-0.13612565445026178,-0.680628272251309,-0.13612565445026178,-0.8481675392670157,-0.13089005235602094,-0.9685863874345549,0.0,-0.39267015706806285,0.03664921465968586,-0.6963350785340314,0.06282722513089005,-0.8795811518324608,0.08376963350785341,-1.0,0.14136125654450263,-0.35602094240837695,0.18848167539267016,-0.6230366492146597,0.19895287958115182,-0.7801047120418848,0.21465968586387435,-0.8848167539267016,0.24607329842931938,-0.3036649214659686,0.19895287958115182,-0.44502617801047123,0.13612565445026178,-0.450261780104712,0.09947643979057591,-0.4293193717277487
18,0.0,0.0,-0.1457286432160804,-0.1658291457286432,-0.135678391959799,-0.35175879396984927,-0.05025125628140704,-0.4824120603015075,0.020100502512562814,-0.5728643216080402,-0.16080402010050251,-0.4020100502512563,-0.1507537688442211,-0.6733668341708543,-0.1507537688442211,-0.8391959798994975,-0.1507537688442211,-0.9597989949748744,-0.01507537688442211,-0.38190954773869346,0.01507537688442211,-0.6884422110552764,0.04522613065326633,-0.8743718592964824,0.06030150753768844,-1.0,0.12060301507537688,-0.35175879396984927,0.17587939698492464,-0.6180904522613065,0.19597989949748743,-0.7738693467336684,0.21105527638190955,-0.8743718592964824,0.23115577889447236,-0.3065326633165829,0.19095477386934673,-0.45226130653266333,0.12562814070351758,-0.44221105527638194,0.09547738693467336,-0.4020100502512563
18,0.0,0.0,-0.13989637305699482,-0.13989637305699482,-0.15544041450777202,-0.32642487046632124,-0.08808290155440414,-0.47150259067357514,-0.02072538860103627,-0.5854922279792746,-0.17098445595854922,-0.36787564766839376,-0.17098445595854922,-0.6424870466321243,-0.17616580310880828,-0.8082901554404145,-0.17616580310880828,-0.9430051813471503,-0.031088082901554404,-0.34196891191709844,0.0,-0.6528497409326425,0.031088082901554404,-0.8497409326424871,0.046632124352331605,-1.0,0.10880829015544041,-0.30569948186528495,0.17616580310880828,-0.5751295336787565,0.20207253886010362,-0.7512953367875648,0.21761658031088082,-0.8756476683937824,0.22797927461139897,-0.26424870466321243,0.22279792746113988,-0.44559585492227977,0.18652849740932642,-0.49740932642487046,0.16062176165803108,-0.5181347150259067
18,0.0,0.0,-0.17647058823529413,-0.15508021390374332,-0.18181818181818182,-0.3422459893048128,-0.13368983957219252,-0.46524064171123,-0.0962566844919786,-0.5347593582887701,-0.20320855614973263,-0.42780748663101603,-0.2727272727272727,-0.6524064171122995,-0.3315508021390374,-0.8021390374331551,-0.3689839572192513,-0.93048128342246,-0.08021390374331551,-0.4385026737967914,-0.0855614973262032,-0.6844919786096256,-0.09090909090909091,-0.8609625668449198,-0.09090909090909091,-1.0,0.016042780748663103,-0.4117647058823529,0.0427807486631016,-0.6203208556149733,0.06417112299465241,-0.7754010695187166,0.0962566844919786,-0.893048128342246,0.0748663101604278,-0.3689839572192513,0.016042780748663103,-0.45454545454545453,-0.06417112299465241,-0.4117647058823529,-0.10160427807486631,-0.37433155080213903
